iter	Passed	Remaining
0	176	175875
1	183	91611
2	192	64016
3	201	50125
4	210	41913
5	219	36317
6	224	31791
7	230	28635
8	236	26001
9	240	23771
10	245	22076
11	248	20470
12	251	19102
13	254	17954
14	259	17009
15	262	16125
16	265	15371
17	269	14702
18	272	14079
19	275	13508
20	278	13002
21	282	12541
22	286	12173
23	289	11787
24	292	11421
25	296	11094
26	299	10789
27	302	10504
28	307	10288
29	313	10126
30	316	9906
31	320	9689
32	324	9496
33	328	9328
34	332	9166
35	337	9024
36	341	8897
37	345	8744
38	349	8601
39	352	8463
40	356	8343
41	360	8216
42	365	8131
43	369	8018
44	372	7910
45	376	7808
46	380	7705
47	384	7616
48	387	7522
49	392	7452
50	395	7368
51	400	7300
52	404	7220
53	407	7141
54	411	7063
55	415	7002
56	419	6944
57	423	6882
58	426	6809
59	430	6743
60	433	6677
61	436	6608
62	440	6549
63	444	6500
64	448	6454
65	451	6393
66	454	6334
67	458	6281
68	461	6226
69	464	6170
70	467	6116
71	471	6074
72	476	6050
73	480	6006
74	484	5971
75	490	5960
76	493	5913
77	496	5868
78	499	5822
79	503	5791
80	507	5752
81	510	5710
82	513	5668
83	517	5645
84	520	5607
85	523	5568
86	527	5531
87	530	5497
88	534	5471
89	537	5438
90	540	5401
91	544	5369
92	547	5344
93	552	5323
94	557	5309
95	562	5292
96	567	5280
97	571	5258
98	574	5231
99	578	5210
100	582	5184
101	586	5166
102	590	5138
103	593	5110
104	596	5083
105	599	5058
106	602	5030
107	606	5010
108	610	4994
109	615	4976
110	618	4950
111	621	4929
112	625	4907
113	628	4887
114	632	4866
115	636	4848
116	639	4828
117	643	4809
118	646	4788
119	650	4769
120	653	4746
121	656	4725
122	659	4703
123	662	4682
124	666	4668
125	670	4653
126	673	4631
127	676	4611
128	680	4595
129	684	4578
130	687	4559
131	690	4539
132	694	4529
133	698	4516
134	702	4501
135	705	4481
136	710	4472
137	713	4455
138	716	4437
139	719	4422
140	724	4411
141	727	4394
142	730	4376
143	733	4361
144	737	4348
145	740	4331
146	743	4314
147	746	4298
148	750	4286
149	754	4274
150	757	4258
151	760	4242
152	763	4229
153	767	4217
154	770	4203
155	774	4192
156	778	4182
157	782	4169
158	785	4154
159	788	4142
160	793	4132
161	797	4125
162	801	4113
163	806	4111
164	812	4112
165	817	4105
166	821	4097
167	827	4099
168	833	4097
169	837	4089
170	842	4086
171	847	4078
172	851	4069
173	856	4065
174	860	4057
175	864	4045
176	867	4031
177	870	4022
178	874	4008
179	877	3995
180	880	3982
181	885	3977
182	888	3968
183	892	3956
184	895	3943
185	898	3933
186	901	3921
187	905	3909
188	908	3897
189	911	3886
190	916	3880
191	919	3869
192	922	3857
193	926	3847
194	929	3837
195	933	3827
196	936	3817
197	940	3810
198	945	3804
199	948	3792
200	950	3780
201	954	3769
202	958	3761
203	961	3749
204	964	3740
205	969	3735
206	973	3730
207	978	3725
208	982	3717
209	986	3709
210	990	3703
211	994	3697
212	998	3689
213	1002	3682
214	1007	3678
215	1011	3671
216	1015	3664
217	1019	3657
218	1024	3654
219	1028	3647
220	1032	3639
221	1035	3630
222	1039	3622
223	1043	3613
224	1046	3606
225	1050	3599
226	1054	3591
227	1058	3583
228	1062	3577
229	1066	3570
230	1070	3564
231	1075	3559
232	1078	3550
233	1081	3541
234	1084	3531
235	1089	3526
236	1092	3517
237	1096	3509
238	1100	3502
239	1105	3500
240	1109	3492
241	1112	3485
242	1116	3479
243	1120	3471
244	1124	3464
245	1128	3458
246	1133	3455
247	1137	3447
248	1141	3441
249	1144	3433
